2021 Wildland Fire Suppression Rates for Ministry Owned Resources,,,
Equipment,Category, Daily Rate ,Rate Type
Eurocopter 130,Rotary wing aircraft, $977.00 ,Hourly
CL 415,Fixed wing aircraft," $5,000.00 ",Hourly
Twin Otter,Fixed wing aircraft," $1,935.00 ",Hourly
Turbo Beaver,Fixed wing aircraft, $447.00 ,Hourly
200 Gallon Bladder,Equipment, $2.23 ,Daily
Chainsaw,Equipment, $6.62 ,Daily
Generator – 6500/7000-watt invertor,Equipment, $2.07 ,Daily
Portable Commercial Heater,Equipment, $0.70 ,Daily
Heli-torch,Equipment, $1.87 ,Daily
"Infrared Unit, Low Level",Equipment, $5.18 ,Daily
Port-a-tank Self supporting,Equipment, $3.96 ,Daily
"Aerial Ignition, Plastic Sphere Dispenser",Kit, $1.40 ,Daily
Emergency Response,Kit, $2.64 ,Daily
"Pump Tool, Regular",Kit, $1.34 ,Daily
Remote Access,Kit, $1.48 ,Daily
Satellite Phone,Kit, $1.28 ,Daily
"Sprinkler, 5 head",Kit, $1.61 ,Daily
Tool – 2.5-inch hose,Kit, $1.61 ,Daily
"Power, Mark 3",Pump, $20.93 ,Daily
Remote Access / Shower,Pump, $1.02 ,Daily
Volume,Pump, $0.85 ,Daily
Volume BB4,Pump, $2.80 ,Daily
Basecamp Portable,Radio, $0.65 ,Daily
Handheld,Radio, $0.50 ,Daily
Overhead,Radio, $0.79 ,Daily
"Portable, 1 person",Shower, $1.00 ,Daily
"Cabin, 19 X 34 foot Rectangular",Tent, $12.40 ,Daily
"Cabin, 20-foot Diameter",Tent, $8.89 ,Daily
"Prospector, Canvas",Tent, $1.32 ,Daily
ATV,Trailers, $6.00 ,Daily
Boat,Trailers, $5.00 ,Daily
Basecamp Equipment,Trailers, $14.36 ,Daily
Basecamp Support,Trailers, $19.44 ,Daily
Bunkhouse,Trailers, $57.37 ,Daily
Camper Trailer,Trailers, $6.69 ,Daily
Communications Tower (80 foot),Trailers, $11.20 ,Daily
Communications Tower (100 foot),Trailers, $11.07 ,Daily
Dry Van,Trailers, $11.73 ,Daily
"Fuel Tanker, 25,000L",Trailers, $51.49 ,Daily
Garbage Trailer,Trailers, $3.82 ,Daily
"Generator, 25 KW",Trailers, $15.69 ,Daily
"Generator, 50-75KW",Trailers, $15.78 ,Daily
Kitchen Support Trailer,Trailers, $43.45 ,Daily
Kitchen Trailer,Trailers, $75.90 ,Daily
Kitchen/Shower,Trailers, $70.26 ,Daily
Office Heli-base,Trailers, $52.64 ,Daily
Office Trailer,Trailers, $46.83 ,Daily
"Office, Incident Command Post",Trailers, $156.20 ,Daily
"Shower Trailer, Large",Trailers, $66.31 ,Daily
Warehouse,Trailers, $28.16 ,Daily
"Structural Protection Unit, 30 Pumping Unit",Trailers, $28.01 ,Daily
Boat < 4.6 m (15’),Marine, $5.00 ,Daily
Boat > 4.7 m,Marine, $7.00 ,Daily
Outboard Motor (1-10 HP),Marine, $5.00 ,Daily
Outboard Motor (11-40 HP),Marine, $5.00 ,Daily
Outboard Motor (41-90 HP),Marine, $5.00 ,Daily
1 Ton Truck,Vehicles, $36.25 ,Daily
1/2 Ton Truck,Vehicles, $19.26 ,Daily
2 Ton Truck,Vehicles, $30.85 ,Daily
3/4 Ton Truck (Fire Ranger Crew),Vehicles, $22.81 ,Daily
5 Ton Truck (Cube),Vehicles, $35.58 ,Daily
5 Ton Truck (Stake),Vehicles, $35.58 ,Daily
ATV,Vehicles, $8.00 ,Daily
Fuel Tanker,Vehicles, $58.77 ,Daily
Passenger Car,Vehicles, $13.10 ,Daily
Passenger Van,Vehicles, $17.19 ,Daily
SUV,Vehicles, $14.58 ,Daily
UTV (Side by side),Vehicles, $8.10 ,Daily
Wildland Fire Engine,Vehicles, $52.91 ,Daily
"Daily Rate for Meals, Per Person",, $45.00 ,Daily
